study_accession	run_accession	mate	url	size_bytes	md5	first_public
PRJDB36442	DRR764596	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764596/DRR764596_2.fastq.gz	1725885143	82193179c2bc11f32aa071bc5d6f871c	2025-11-20
PRJDB36442	DRR764599	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764599/DRR764599_1.fastq.gz	1520755858	7d5bd6eb8155d1499fd687fde5f48ccd	2025-11-20
PRJDB36442	DRR764599	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764599/DRR764599_2.fastq.gz	1611169720	7a299ec560d619c418c2e93965310a29	2025-11-20
PRJDB36442	DRR764581	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764581/DRR764581_1.fastq.gz	1554742857	0a2f637151059e4b7534bab3b33eca1e	2025-11-20
PRJDB36442	DRR764581	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764581/DRR764581_2.fastq.gz	1639769649	a63bf76a854a3454d95bdcc811d0aee4	2025-11-20
PRJDB36442	DRR764585	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764585/DRR764585_1.fastq.gz	1496717975	248061a09f4cc7689c47f4365a03acbe	2025-11-20
PRJDB36442	DRR764585	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764585/DRR764585_2.fastq.gz	1565530139	44016e7236618f8328ff4ac14479db85	2025-11-20
PRJDB36442	DRR764589	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764589/DRR764589_1.fastq.gz	1490114936	dcbc06dc60d4cabfc13bbd9312d0d62c	2025-11-20
PRJDB36442	DRR764589	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764589/DRR764589_2.fastq.gz	1572033304	31350a887b9ddb68f63b113acb8efacf	2025-11-20
PRJDB36442	DRR764594	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764594/DRR764594_1.fastq.gz	1470192512	6e6a92f8e05c78eaeecf5c387d82ed0d	2025-11-20
PRJDB36442	DRR764594	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764594/DRR764594_2.fastq.gz	1611834501	1f967e7092a1ef3495376d0af425d1a7	2025-11-20
PRJDB36442	DRR764597	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764597/DRR764597_1.fastq.gz	1434710625	3cbad27a2ac4ccab02d792afe137f3b6	2025-11-20
PRJDB36442	DRR764597	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764597/DRR764597_2.fastq.gz	1516581214	689abb0515e23d680eca7dc2a8be0519	2025-11-20
