clade_name	mean_clr_M	mean_clr_S	diff_S_minus_M	cohens_d	prev_M	prev_S	p_perm	q_fdr
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346	3.156994	-2.582995	-5.739990	-0.834334	8	6	0.07646177	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis	1.830899	-1.498009	-3.328908	-0.736631	9	9	0.14092954	0.81449914
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Faecalibacillus|s__Faecalibacillus_intestinalis	2.655107	-2.172361	-4.827468	-0.783698	8	6	0.08545727	0.68982519
k__Bacteria|p__Firmicutes|c__CFGB93792|o__OFGB93792|f__FGB93792|g__GGB9524|s__GGB9524_SGB14924	0.242190	-0.198155	-0.440345	-0.097069	1	1	0.73513243	1.00000000
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306	3.884047	-3.177857	-7.061904	-1.171437	5	1	0.03248376	0.57806324
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	1.919002	-1.570093	-3.489095	-0.754865	2	0	0.20039980	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	2.983133	-2.440745	-5.423877	-0.716527	6	3	0.11994003	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Pilosibacter|s__Pilosibacter_fragilis	-1.031133	0.843654	1.874786	0.398626	8	10	0.44727636	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_massiliensis	-0.130737	0.106967	0.237703	0.027881	5	6	0.86556722	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Anaerotignaceae|g__Anaerotignum|s__Anaerotignum_faecicola	3.124993	-2.556812	-5.681805	-1.024135	9	7	0.03798101	0.57943144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_rectibacter	-0.684364	0.559934	1.244298	0.214058	1	2	0.69165417	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF15_41	0.904036	-0.739666	-1.643701	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_AF75_07pH9A	0.902582	-0.738476	-1.641058	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_eligens	4.163899	-3.406827	-7.570726	-1.066486	8	4	0.04347826	0.59725400
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	1.604707	-1.312942	-2.917650	-0.546547	9	8	0.21989005	0.81449914
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	-0.550539	0.450441	1.000980	0.184025	1	2	0.83058471	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Waltera|s__Waltera_acetigignens	1.221834	-0.999682	-2.221516	-0.465012	9	9	0.41229385	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_amylophila	0.893075	-0.730698	-1.623773	-0.334266	2	1	0.45777111	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9627|s__GGB9627_SGB15081	1.310645	-1.072346	-2.382991	-0.391626	3	2	0.38480760	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3277|s__GGB3277_SGB4327	1.209169	-0.989320	-2.198489	-0.310795	3	2	0.54922539	0.89592391
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_SGB15295	3.192680	-2.612193	-5.804872	-0.874075	6	2	0.07246377	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_lactaris	5.963415	-4.879158	-10.842572	-2.143209	8	2	0.00099950	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	3.825713	-3.130129	-6.955842	-1.229229	9	6	0.01849075	0.50490884
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	3.284213	-2.687083	-5.971296	-0.965389	9	7	0.05697151	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9699|s__GGB9699_SGB15216	4.310964	-3.527153	-7.838117	-1.307745	9	5	0.00899550	0.39130435
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	2.283318	-1.868169	-4.151486	-0.707086	8	7	0.13243378	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4	4.632197	-3.789980	-8.422177	-1.443265	7	2	0.01049475	0.40909091
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques	1.214517	-0.993695	-2.208212	-0.455676	9	9	0.42578711	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA	2.439739	-1.996150	-4.435889	-0.655261	7	4	0.16491754	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis	0.499832	-0.408953	-0.908785	-0.119103	5	6	0.66816592	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	-0.356801	0.291928	0.648729	0.168499	9	10	0.85257371	1.00000000
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380|g__GGB3363|s__GGB3363_SGB4448	0.534370	-0.437212	-0.971581	-0.124132	4	4	0.88705647	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	1.163821	-0.952217	-2.116038	-0.469222	9	9	0.43978011	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9730|s__GGB9730_SGB15291	3.874649	-3.170167	-7.044816	-1.150923	6	2	0.02698651	0.55900621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	2.122100	-1.736264	-3.858364	-0.517311	7	5	0.30484758	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hominilimicola|s__Hominilimicola_fabiformis	1.220210	-0.998354	-2.218564	-0.532404	9	9	0.36081959	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_ihumii	3.326000	-2.721273	-6.047272	-0.924294	6	3	0.04097951	0.59051383
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB4750	4.629431	-3.787717	-8.417148	-1.683236	9	4	0.00199900	0.32608696
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.750042	-0.613671	-1.363713	-0.218316	8	8	0.62368816	0.97865296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium	1.238846	-1.013601	-2.252447	-0.322812	6	6	0.44677661	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_AF18_31LB	3.035902	-2.483920	-5.519823	-0.999723	9	6	0.03798101	0.57943144
k__Bacteria|p__Firmicutes|c__CFGB79315|o__OFGB79315|f__FGB79315|g__GGB9758|s__GGB9758_SGB15368	2.884454	-2.360007	-5.244461	-0.908017	4	1	0.07496252	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_album	1.813459	-1.483739	-3.297199	-0.531529	4	2	0.32683658	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominiventricola|s__Hominiventricola_filiformis	1.248392	-1.021412	-2.269804	-0.346256	7	6	0.52673663	0.87565771
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Ruminococcaceae_bacterium_AM53_2BH	0.130001	-0.106364	-0.236365	-0.040909	2	2	1.00000000	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3345|s__GGB3345_SGB4425	0.818237	-0.669467	-1.487704	-0.500000	1	0	0.44327836	0.81449914
